EmployeeID,Date,Amount,Comment
2,6/6/2019,-2000,Advance Deduction
6,6/6/2019,-1000,Advance Deduction
20,6/6/2019,-5000,Advance Deduction
44,6/6/2019,-3000,Advance Deduction
74,6/6/2019,-1000,Advance Deduction
106,6/6/2019,75,1% Interest.
106,6/6/2019,-3575,Advance Deduction
113,6/6/2019,-1000,Advance Deduction
131,6/6/2019,-1400,Advance Deduction
134,6/6/2019,-1000,Advance Deduction
219,6/6/2019,-10000,Advance Deduction
239,6/6/2019,-4000,Advance Deduction
242,6/6/2019,-2000,Advance Deduction
249,6/6/2019,-5000,Advance Deduction
264,6/6/2019,-5000,Advance Deduction
328,6/6/2019,-1500,Advance Deduction
330,6/6/2019,-1500,Advance Deduction
349,6/6/2019,-800,Advance Deduction
370,6/6/2019,-1000,Advance Deduction
406,6/6/2019,-500,Advance Deduction
423,6/6/2019,-500,Advance Deduction
425,6/6/2019,-1500,Advance Deduction
448,6/6/2019,-700,Advance Deduction
474,6/6/2019,-3893,Advance Deduction
494,6/6/2019,-1000,Advance Deduction
496,6/6/2019,-5000,Advance Deduction
498,6/6/2019,-3000,Advance Deduction
503,6/6/2019,-1400,Advance Deduction
506,6/6/2019,-500,Advance Deduction
558,6/6/2019,75,1% Interest.
558,6/6/2019,-3075,Advance Deduction
565,6/6/2019,-1000,Advance Deduction
570,6/6/2019,-2000,Advance Deduction
594,6/6/2019,-500,Advance Deduction
605,6/6/2019,-2000,Advance Deduction
606,6/6/2019,-1000,Advance Deduction
610,6/6/2019,-2000,Advance Deduction
611,6/6/2019,66,1% Interest.
611,6/6/2019,-6666,Advance Deduction
619,6/6/2019,-1000,Advance Deduction
628,6/6/2019,-1000,Advance Deduction
