EmployeeID,Date,Amount,Comment
44,3/6/2020,-5000,Advance Deduction
74,3/6/2020,-700,Advance Deduction
106,3/6/2020,-1400,Advance Deduction
131,3/6/2020,-700,Advance Deduction
134,3/6/2020,-1500,Advance Deduction
184,3/6/2020,-2000,Advance Deduction
234,3/6/2020,-1400,Advance Deduction
242,3/6/2020,-500,Advance Deduction
264,3/6/2020,-1700,Advance Deduction
277,3/6/2020,-700,Advance Deduction
328,3/6/2020,-1500,Advance Deduction
349,3/6/2020,-2500,Advance Deduction
376,3/6/2020,-6000,Advance Deduction
384,3/6/2020,-1000,Advance Deduction
448,3/6/2020,-1000,Advance Deduction
454,3/6/2020,-12000,Advance Deduction
484,3/6/2020,-500,Advance Deduction
491,3/6/2020,-2000,Advance Deduction
494,3/6/2020,-6000,Advance Deduction
558,3/6/2020,-3000,Advance Deduction
565,3/6/2020,-1500,Advance Deduction
570,3/6/2020,-2000,Advance Deduction
574,3/6/2020,-1000,Advance Deduction
583,3/6/2020,-2000,Advance Deduction
594,3/6/2020,-500,Advance Deduction
605,3/6/2020,130,1% Interest
605,3/6/2020,-5130,Advance Deduction
608,3/6/2020,-1000,Advance Deduction
609,3/6/2020,-2500,Advance Deduction
613,3/6/2020,-4330,Advance Deduction
619,3/6/2020,-1500,Advance Deduction
646,3/6/2020,-200,Advance Deduction
696,3/6/2020,-2000,Advance Deduction
