EmployeeID,Date,Amount,Comment
20,3/8/2021,-5000,Advance Deduction
44,3/8/2021,-11000,Advance Deduction
74,3/8/2021,-1000,Advance Deduction
106,3/8/2021,-700,Advance Deduction
159,3/8/2021,-1000,Advance Deduction
242,3/8/2021,-1000,Advance Deduction
264,3/8/2021,-1500,Advance Deduction
328,3/8/2021,-1500,Advance Deduction
332,3/8/2021,428,1% Interest
332,3/8/2021,-5428,Advance Deduction
437,3/8/2021,-1000,Advance Deduction
496,3/8/2021,-1000,Advance Deduction
558,3/8/2021,70,1% Interest
558,3/8/2021,-3070,Advance Deduction
570,3/8/2021,-2000,Advance Deduction
600,3/8/2021,175,1% Interest
600,3/8/2021,-5175,Advance Deduction
605,3/8/2021,550,1% Interest
605,3/8/2021,-10550,Advance Deduction
608,3/8/2021,40,1% Interest
608,3/8/2021,-4040,Advance Deduction
613,3/8/2021,-2000,Advance Deduction
363,3/8/2021,-1000,Advance Deduction
656,3/8/2021,-500,Advance Deduction
662,3/8/2021,-1600,Advance Deduction
777,3/8/2021,-700,Advance Deduction
780,3/8/2021,-1500,Advance Deduction
799,3/8/2021,-1000,Advance Deduction
