EmployeeID,Date,Amount,Comment
20,11/6/2020,-3000,Advance Deduction
44,11/6/2020,-10000,Advance Deduction
106,11/6/2020,-3000,Advance Deduction
113,11/6/2020,-1500,Advance Deduction
134,11/6/2020,-1000,Advance Deduction
242,11/6/2020,-2000,Advance Deduction
249,11/6/2020,-5000,Advance Deduction
264,11/6/2020,-1400,Advance Deduction
328,11/6/2020,-1500,Advance Deduction
332,11/6/2020,-7000,Advance Deduction
484,11/6/2020,-1500,Advance Deduction
491,11/6/2020,-2000,Advance Deduction
496,11/6/2020,-1500,Advance Deduction
594,11/6/2020,-200,Advance Deduction
605,11/6/2020,-2000,Advance Deduction
608,11/6/2020,25,1% Interest
608,11/6/2020,-2525,Advance Deduction
640,11/6/2020,-3000,Advance Deduction
662,11/6/2020,-5000,Advance Deduction
690,11/6/2020,-1000,Advance Deduction
