EmployeeID,Date,Amount,Comment
131,6/3/2019,-5700,Advance Deduction
164,6/3/2019,-1000,Advance Deduction
219,6/3/2019,-500,Advance Deduction
242,6/3/2019,-1500,Advance Deduction
249,6/3/2019,-5000,Advance Deduction
264,6/3/2019,-4600,Advance Deduction
277,6/3/2019,-500,Advance Deduction
328,6/3/2019,-1500,Advance Deduction
330,6/3/2019,-3000,Advance Deduction
349,6/3/2019,-2000,Advance Deduction
418,6/3/2019,-4000,Advance Deduction
425,6/3/2019,-1500,Advance Deduction
430,6/3/2019,-700,Advance Deduction
437,6/3/2019,-2000,Advance Deduction
447,6/3/2019,-3045,Advance Deduction
447,6/3/2019,30,1% Interest.
474,6/3/2019,-6200,Advance Deduction
476,6/3/2019,-1500,Advance Deduction
484,6/3/2019,-2525,Advance Deduction
484,6/3/2019,25,1% Interest.
503,6/3/2019,-1500,Advance Deduction
551,6/3/2019,-500,Advance Deduction
551,6/3/2019,-500,Advance Deduction
556,6/3/2019,-6800,Advance Deduction
558,6/3/2019,-3000,Advance Deduction
563,6/3/2019,-1555,Advance Deduction
563,6/3/2019,15,1% Interest.
570,6/3/2019,-2000,Advance Deduction
587,6/3/2019,-500,Advance Deduction
587,6/3/2019,-700,Advance Deduction
591,6/3/2019,-2000,Advance Deduction
594,6/3/2019,-500,Advance Deduction
605,6/3/2019,-2000,Advance Deduction
619,6/3/2019,-2500,Advance Deduction
625,6/3/2019,-500,Advance Deduction
628,6/3/2019,-700,Advance Deduction
