EmployeeID,Date,Amount,Comment
44,12/16/2020,-10000,Advance Deduction from Bonus
106,12/16/2020,-4000,Advance Deduction from Bonus
184,12/16/2020,-10550,Advance Deduction from Bonus
264,12/16/2020,-1500,Advance Deduction from Bonus
330,12/16/2020,-4000,Advance Deduction from Bonus
586,12/16/2020,-9500,Advance Deduction from Bonus
600,12/16/2020,-6250,Advance Deduction from Bonus
608,12/16/2020,-5500,Advance Deduction from Bonus
609,12/16/2020,-5800,Advance Deduction from Bonus
640,12/16/2020,-4000,Advance Deduction from Bonus
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
