EmployeeID,Date,Amount,Comment
20,12/7/2020,-5000,Advance Deduction
44,12/7/2020,200,1% Interest
44,12/7/2020,-10200,Advance Deduction
106,12/7/2020,70,1% Interest
106,12/7/2020,-3770,Advance Deduction
113,12/7/2020,-3000,Advance Deduction
134,12/7/2020,-2000,Advance Deduction
184,12/7/2020,-3000,Advance Deduction
242,12/7/2020,-500,Advance Deduction
249,12/7/2020,50,1% Interest
249,12/7/2020,-5050,Advance Deduction
259,12/7/2020,-2000,Advance Deduction
264,12/7/2020,-1000,Advance Deduction
277,12/7/2020,-700,Advance Deduction
328,12/7/2020,-1500,Advance Deduction
330,12/7/2020,-8000,Advance Deduction
332,12/7/2020,150,1% Interest
332,12/7/2020,-5150,Advance Deduction
448,12/7/2020,-1500,Advance Deduction
484,12/7/2020,-5000,Advance Deduction
558,12/7/2020,-2000,Advance Deduction
570,12/7/2020,-2000,Advance Deduction
594,12/7/2020,-300,Advance Deduction
636,12/7/2020,-500,Advance Deduction
640,12/7/2020,70,1% Interest
640,12/7/2020,-3070,Advance Deduction
646,12/7/2020,-500,Advance Deduction
662,12/7/2020,-2000,Advance Deduction
690,12/7/2020,-1500,Advance Deduction
698,12/7/2020,-1000,Advance Deduction
