EmployeeID,Date,Amount,Comment
44,1/8/2021,-2000,Advance Deduction
74,1/8/2021,-1000,Advance Deduction
106,1/8/2021,-1000,Advance Deduction
134,1/8/2021,-1000,Advance Deduction
184,1/8/2021,165,1% Interest
184,1/8/2021,-3165,Advance Deduction
242,1/8/2021,-1500,Advance Deduction
264,1/8/2021,-2000,Advance Deduction
268,1/8/2021,-3000,Advance Deduction
330,1/8/2021,-2500,Advance Deduction
332,1/8/2021,100,1% Interest
332,1/8/2021,-5100,Advance Deduction
484,1/8/2021,-1500,Advance Deduction
496,1/8/2021,-5000,Advance Deduction
558,1/8/2021,-2000,Advance Deduction
586,1/8/2021,-5000,Advance Deduction
600,1/8/2021,-5000,Advance Deduction
605,1/8/2021,100,1% Interest
605,1/8/2021,-2100,Advance Deduction
608,1/8/2021,195,1% Interest
608,1/8/2021,-5195,Advance Deduction
609,1/8/2021,42,1% Interest
609,1/8/2021,-4242,Advance Deduction
646,1/8/2021,-500,Advance Deduction
690,1/8/2021,-1000,Advance Deduction
748,1/8/2021,-2000,Advance Deduction
777,1/8/2021,-500,Advance Deduction
