EmployeeID,Date,Amount,Comment
20,4/8/2021,-5000,Advance Deduction
74,4/8/2021,-1000,Advance Deduction
134,4/8/2021,-1400,Advance Deduction
159,4/8/2021,-1000,Advance Deduction
160,4/8/2021,-2000,Advance Deduction
242,4/8/2021,-5000,Advance Deduction
264,4/8/2021,-5000,Advance Deduction
332,4/8/2021,378,1% Interest
332,4/8/2021,-5378,Advance Deduction
406,4/8/2021,-1000,Advance Deduction
418,4/8/2021,400,1% Interest
418,4/8/2021,-5400,Advance Deduction
484,4/8/2021,-1000,Advance Deduction
558,4/8/2021,40,1% Interest
558,4/8/2021,-4040,Advance Deduction
594,4/8/2021,-4000,Advance Deduction
600,4/8/2021,125,1% Interest
600,4/8/2021,-5125,Advance Deduction
605,4/8/2021,450,1% Interest
605,4/8/2021,-5450,Advance Deduction
636,4/8/2021,-500,Advance Deduction
662,4/8/2021,-600,Advance Deduction
,,,
,,,
,,,
