EmployeeID,Date,Amount,Comment
20,8/8/2019,-5000,Advance Deduction
74,8/8/2019,-1000,Advance Deduction
88,8/8/2019,-1500,Advance Deduction
106,8/8/2019,20,1% Interest.
106,8/8/2019,-2720,Advance Deduction
131,8/8/2019,-2000,Advance Deduction
134,8/8/2019,-1000,Advance Deduction
164,8/8/2019,-1000,Advance Deduction
184,8/8/2019,310,1% Interest.
184,8/8/2019,-4310,Advance Deduction
219,8/8/2019,130,1% Interest.
219,8/8/2019,-7630,Advance Deduction
239,8/8/2019,120,1% Interest.
239,8/8/2019,-4120,Advance Deduction
241,8/8/2019,350,1% Interest.
241,8/8/2019,-5350,Advance Deduction
242,8/8/2019,-2000,Advance Deduction
249,8/8/2019,-2000,Advance Deduction
264,8/8/2019,-6000,Advance Deduction
268,8/8/2019,-2000,Advance Deduction
328,8/8/2019,-1500,Advance Deduction
349,8/8/2019,-2000,Advance Deduction
370,8/8/2019,-1500,Advance Deduction
423,8/8/2019,-700,Advance Deduction
430,8/8/2019,-700,Advance Deduction
437,8/8/2019,-2000,Advance Deduction
448,8/8/2019,-1000,Advance Deduction
484,8/8/2019,-5000,Advance Deduction
485,8/8/2019,-1500,Advance Deduction
494,8/8/2019,-1500,Advance Deduction
496,8/8/2019,-6000,Advance Deduction
503,8/8/2019,-3000,Advance Deduction
506,8/8/2019,-2000,Advance Deduction
558,8/8/2019,25,1% Interest.
558,8/8/2019,-3025,Advance Deduction
563,8/8/2019,-1500,Advance Deduction
565,8/8/2019,-1000,Advance Deduction
594,8/8/2019,-500,Advance Deduction
628,8/8/2019,-2700,Advance Deduction
