EmployeeID,Date,Amount,Comment
20,7/6/2020,-5000,Advance Deduction
106,7/6/2020,10,1% Interest
106,7/6/2020,-1710,Advance Deduction
264,7/6/2020,-1400,Advance Deduction
268,7/6/2020,-2000,Advance Deduction
376,7/6/2020,160,1% Interest
376,7/6/2020,-6160,Advance Deduction
412,7/6/2020,145,1% Interest
412,7/6/2020,-3645,Advance Deduction
484,7/6/2020,-3000,Advance Deduction
496,7/6/2020,-2000,Advance Deduction
570,7/6/2020,-2000,Advance Deduction
594,7/6/2020,-700,Advance Deduction
605,6/6/2020,-5000,Advance Deduction
608,6/6/2020,125,1% Interest
608,6/6/2020,-2625,Advance Deduction
690,6/6/2020,-1600,Advance Deduction
