EmployeeID,Date,Amount,Comment
20,10/8/2020,-1000,Advance Deduction
44,10/8/2020,-2000,Advance Deduction
106,10/8/2020,-700,Advance Deduction
134,10/8/2020,-1500,Advance Deduction
264,10/8/2020,-1400,Advance Deduction
268,10/8/2020,-2000,Advance Deduction
376,10/8/2020,100,1% Interest
376,10/8/2020,-6100,Advance Deduction
412,10/8/2020,110,1% Interest
412,10/8/2020,-3610,Advance Deduction
483,10/8/2020,-3000,Advance Deduction
484,10/8/2020,-2500,Advance Deduction
496,10/8/2020,-1000,Advance Deduction
558,10/8/2020,-3000,Advance Deduction
594,10/8/2020,-500,Advance Deduction
605,10/8/2020,-5000,Advance Deduction
608,10/8/2020,100,1% Interest
608,10/8/2020,-2600,Advance Deduction
613,10/8/2020,-1000,Advance Deduction
690,10/8/2020,-1000,Advance Deduction
