EmployeeID,Date,Amount,Comment
2,4/8/2020,-25000,Advance Deduction
20,4/8/2020,-3000,Advance Deduction
74,4/8/2020,-800,Advance Deduction
106,4/8/2020,-3000,Advance Deduction
113,4/8/2020,-1500,Advance Deduction
131,4/8/2020,-1000,Advance Deduction
184,4/8/2020,-1500,Advance Deduction
264,4/8/2020,-5000,Advance Deduction
277,4/8/2020,-700,Advance Deduction
328,4/8/2020,-1500,Advance Deduction
330,4/8/2020,-1500,Advance Deduction
349,4/8/2020,-1500,Advance Deduction
376,4/8/2020,-6000,Advance Deduction
412,4/8/2020,-3500,Advance Deduction
425,4/8/2020,-1500,Advance Deduction
448,4/8/2020,-1000,Advance Deduction
484,4/8/2020,-2500,Advance Deduction
496,4/8/2020,-7000,Advance Deduction
558,4/8/2020,-3000,Advance Deduction
570,4/8/2020,-2000,Advance Deduction
583,4/8/2020,-2000,Advance Deduction
586,4/8/2020,-1500,Advance Deduction
594,4/8/2020,-500,Advance Deduction
608,4/8/2020,-2500,Advance Deduction
609,4/8/2020,-2000,Advance Deduction
670,4/8/2020,-1000,Advance Deduction
,,,
,,,
,,,
,,,
,,,
,,,
