EmployeeID,Date,Amount,Comment
74,7/5/2019,-1000,Advance Deduction
239,7/5/2019,160,1% Interest.
239,7/5/2019,-4160,Advance Deduction
241,7/5/2019,400,1% Interest.
241,7/5/2019,-5400,Advance Deduction
242,7/5/2019,-3000,Advance Deduction
249,7/5/2019,50,1% Interest.
249,7/5/2019,-5050,Advance Deduction
264,7/5/2019,-6000,Advance Deduction
328,7/5/2019,-1500,Advance Deduction
330,7/5/2019,-1500,Advance Deduction
349,7/5/2019,-2000,Advance Deduction
370,7/5/2019,-1500,Advance Deduction
437,7/5/2019,-1200,Advance Deduction
448,7/5/2019,-700,Advance Deduction
484,7/5/2019,50,1% Interest.
484,7/5/2019,-5050,Advance Deduction
494,7/5/2019,-1000,Advance Deduction
496,7/5/2019,-6500,Advance Deduction
203,7/5/2019,-6000,Advance Deduction
522,7/5/2019,-1000,Advance Deduction
558,7/5/2019,50,1% Interest.
558,7/5/2019,-3250,Advance Deduction
570,7/5/2019,-2000,Advance Deduction
574,7/5/2019,-1000,Advance Deduction
594,7/5/2019,-500,Advance Deduction
605,7/5/2019,-1000,Advance Deduction
608,7/5/2019,-700,Advance Deduction
628,7/5/2019,-1700,Advance Deduction
