EmployeeID,Date,Amount,Comment
20,12/6/2019,-5000,Advance Deduction
74,12/6/2019,-1000,Advance Deduction
83,12/6/2019,-2000,Advance Deduction
113,12/6/2019,-1500,Advance Deduction
134,12/6/2019,-1000,Advance Deduction
184,12/6/2019,62,1% Interest
184,12/6/2019,-4062,Advance Deduction
219,12/6/2019,130,1% Interest
219,12/6/2019,-13065,Advance Deduction
234,12/6/2019,-1000,Advance Deduction
241,12/6/2019,58,1% Interest
241,12/6/2019,-5878,Advance Deduction
242,12/6/2019,-700,Advance Deduction
249,12/6/2019,-10000,Advance Deduction
264,12/6/2019,-8000,Advance Deduction
328,12/6/2019,-1500,Advance Deduction
349,12/6/2019,-1500,Advance Deduction
406,12/6/2019,-10000,Advance Deduction
437,12/6/2019,-500,Advance Deduction
483,12/6/2019,-2000,Advance Deduction
484,12/6/2019,102,1% Interest
484,12/6/2019,-4102,Advance Deduction
491,12/6/2019,-1000,Advance Deduction
496,12/6/2019,-2490,Advance Deduction
565,12/6/2019,-2000,Advance Deduction
570,12/6/2019,-2000,Advance Deduction
583,12/6/2019,-3000,Advance Deduction
586,12/6/2019,-1000,Advance Deduction
594,12/6/2019,-500,Advance Deduction
605,12/6/2019,-5000,Advance Deduction
646,12/6/2019,-2000,Advance Deduction
661,12/6/2019,-500,Advance Deduction
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
