EmployeeID,Date,Amount,Comment
498,5/6/2019,-1700,Advance Deduction
500,5/6/2019,-70,Advance Deduction
503,5/6/2019,50,1% Interest.
503,5/6/2019,-5050,Advance Deduction
503,5/6/2019,-1870,Advance Deduction
520,5/6/2019,-440,Advance Deduction
536,5/6/2019,-666,Advance Deduction
551,5/6/2019,-600,Advance Deduction
551,5/6/2019,-400,Advance Deduction
556,5/6/2019,52,1% Interest.
556,5/6/2019,-5252,Advance Deduction
556,5/6/2019,-738,Advance Deduction
558,5/6/2019,-3000,Advance Deduction
561,5/6/2019,-424,Advance Deduction
566,5/6/2019,-500,Advance Deduction
570,5/6/2019,-2000,Advance Deduction
574,5/6/2019,-3000,Advance Deduction
585,5/6/2019,-70,Advance Deduction
593,5/6/2019,-512,Advance Deduction
594,5/6/2019,-500,Advance Deduction
597,5/6/2019,-1000,Advance Deduction
611,5/6/2019,86,1% Interest.
611,5/6/2019,-2086,Advance Deduction
619,5/6/2019,-1000,Advance Deduction
628,5/6/2019,-700,Advance Deduction
,,,
,,,
