EmployeeID,Date,Amount,Comment
20,6/6/2020,-5000,Advance Deduction
106,6/6/2020,40,1% Interest
106,6/6/2020,-3040,Advance Deduction
134,6/6/2020,-1400,Advance Deduction
264,6/6/2020,-1500,Advance Deduction
376,6/6/2020,220,1% Interest
376,6/6/2020,-6220,Advance Deduction
412,6/6/2020,180,1% Interest
412,6/6/2020,-3680,Advance Deduction
476,6/6/2020,-2241,Advance Deduction
496,6/6/2020,-800,Advance Deduction
558,6/6/2020,20,1% Interest
558,6/6/2020,-2020,Advance Deduction
570,6/6/2020,-2000,Advance Deduction
605,6/6/2020,30,1% Interest
605,6/6/2020,-3030,Advance Deduction
608,6/6/2020,150,1% Interest
608,6/6/2020,-2650,Advance Deduction
646,6/6/2020,-200,Advance Deduction
690,6/6/2020,-500,Advance Deduction
