EmployeeID,Date,Amount,Comment
20,1/7/2020,-5000,Advance Deduction
44,1/7/2020,-10000,Advance Deduction
74,1/7/2020,-700,Advance Deduction
83,1/7/2020,-2000,Advance Deduction
106,1/7/2020,-1500,Advance Deduction
131,1/7/2020,-1000,Advance Deduction
134,1/7/2020,-1500,Advance Deduction
184,1/7/2020,200,1% Interest
184,1/7/2020,-2380,Advance Deduction
234,1/7/2020,-1000,Advance Deduction
242,1/7/2020,-2000,Advance Deduction
249,1/7/2020,100,1% Interest
249,1/7/2020,-10100,Advance Deduction
264,1/7/2020,-8000,Advance Deduction
268,1/7/2020,-3000,Advance Deduction
330,1/7/2020,-5000,Advance Deduction
249,1/7/2020,-2000,Advance Deduction
370,1/7/2020,-1000,Advance Deduction
406,1/7/2020,124,1% Interest
406,1/7/2020,-10124,Advance Deduction
425,1/7/2020,-1500,Advance Deduction
484,1/7/2020,62,1% Interest
484,1/7/2020,-4062,Advance Deduction
494,1/7/2020,-1500,Advance Deduction
496,1/7/2020,-2000,Advance Deduction
498,1/7/2020,-1500,Advance Deduction
532,1/7/2020,-1500,Advance Deduction
558,1/7/2020,-1000,Advance Deduction
565,1/7/2020,-1500,Advance Deduction
570,1/7/2020,-2000,Advance Deduction
583,1/7/2020,-3000,Advance Deduction
586,1/7/2020,-2000,Advance Deduction
605,1/7/2020,50,1% Interest
605,1/7/2020,-50,Interest
608,1/7/2020,-3000,Advance Deduction
613,1/7/2020,-5000,Advance Deduction
619,1/7/2020,-1400,Advance Deduction
646,1/7/2020,-2100,Advance Deduction
668,1/7/2020,-1500,Advance Deduction
696,1/7/2020,-4000,Advance Deduction
